,body,mind,achieve,social,meaning,gender,age,pandemic
0,3,2,2,2,1,1,3,0
1,2,3,1,2,2,1,3,0
2,2,2,1,2,2,1,3,0
3,2,1,1,2,2,1,4,0
4,2,3,2,2,2,1,4,0
5,3,2,2,3,3,1,4,0
6,2,3,3,2,3,0,4,0
7,3,2,2,2,2,1,2,0
8,2,3,2,2,2,1,2,0
9,2,1,1,2,3,1,4,0
10,2,2,1,2,1,1,3,0
11,3,3,1,1,1,0,2,0
12,2,3,2,3,2,0,2,0
13,3,3,3,2,2,1,3,0
14,2,2,2,2,2,1,2,0
15,3,3,2,3,3,1,4,0
16,3,2,2,3,1,0,2,0
17,3,3,2,3,2,0,2,0
18,3,2,2,3,3,1,3,0
19,2,3,2,3,2,0,3,0
20,2,2,1,2,2,0,2,0
21,2,2,2,2,2,1,2,0
22,2,3,2,3,2,0,3,0
23,3,3,3,3,3,0,3,0
24,2,3,1,3,2,1,3,0
25,3,2,1,2,2,0,2,0
26,3,2,1,1,2,0,2,0
27,3,2,2,3,2,1,2,0
28,3,2,2,3,2,1,3,0
29,3,3,2,2,1,1,1,0
30,3,2,2,2,3,0,2,0
31,2,3,2,2,2,1,3,0
32,1,1,1,1,1,1,3,0
33,2,2,1,2,1,1,4,0
34,3,3,3,3,2,0,2,0
35,1,2,1,2,1,0,2,0
36,2,3,3,3,3,1,4,0
37,2,1,1,1,2,1,3,0
38,2,3,2,2,2,0,4,0
39,3,3,2,3,3,1,4,0
40,3,3,2,2,2,1,2,0
41,2,2,1,3,2,1,4,0
42,2,2,2,3,2,1,4,0
43,3,2,2,2,1,0,2,0
44,3,2,1,2,1,1,3,0
45,3,1,2,2,3,1,3,0
46,3,3,3,3,2,1,4,0
47,3,2,2,3,1,1,2,0
48,2,3,3,3,3,1,4,0
49,2,2,2,3,2,1,3,0
50,3,3,2,2,2,1,2,0
51,2,2,2,3,1,1,2,0
52,1,2,2,3,1,0,3,0
53,3,3,1,2,1,1,4,0
54,2,3,1,2,2,1,2,0
55,2,1,1,1,1,1,1,0
56,2,2,2,3,1,1,3,0
57,3,2,2,3,2,0,3,0
58,3,3,2,2,2,1,4,0
59,2,1,1,1,1,0,2,0
60,2,1,1,1,1,0,2,0
61,3,3,2,2,2,1,2,0
62,3,2,2,2,2,0,2,0
63,2,3,2,2,1,0,2,0
64,2,2,2,2,2,1,3,0
65,2,2,2,2,2,1,2,0
66,2,2,2,2,2,1,2,0
67,2,3,1,2,1,0,2,0
68,3,3,1,1,1,1,4,0
69,2,3,2,3,1,1,2,0
70,3,3,2,3,2,0,2,0
71,2,3,2,2,1,1,2,0
72,1,1,1,1,1,1,3,0
73,2,2,2,3,2,0,4,0
74,3,3,2,2,1,1,4,0
75,3,3,2,2,2,1,2,0
76,3,2,2,2,2,1,3,0
77,3,2,2,2,2,1,3,0
78,3,2,2,3,2,1,2,0
79,1,1,1,1,1,0,2,0
80,3,3,1,1,1,0,1,0
81,2,3,2,2,2,1,4,0
82,1,1,1,1,1,0,2,0
83,1,2,3,3,2,1,2,0
84,3,3,3,3,2,1,2,0
85,2,3,2,2,2,1,4,0
86,2,3,2,2,3,1,4,0
87,2,2,2,3,1,1,3,0
88,3,3,3,3,2,1,3,0
89,3,3,3,3,2,1,3,0
90,2,2,2,3,2,1,3,0
91,2,2,1,1,1,1,2,0
92,3,3,3,3,3,1,2,0
93,2,2,2,1,1,0,2,0
94,3,3,1,2,2,0,3,0
95,1,3,2,3,1,0,3,0
96,1,2,1,1,1,1,3,0
97,3,1,2,2,1,1,2,0
98,2,2,3,3,3,1,2,0
99,2,2,3,3,2,1,2,0
100,2,3,2,2,2,1,4,0
101,3,2,1,3,2,1,3,0
102,2,1,2,3,2,0,2,0
103,2,2,1,3,2,1,2,0
104,3,2,2,1,1,0,2,0
105,3,3,1,2,3,1,3,0
106,2,2,1,2,1,1,2,0
107,3,1,2,2,1,1,2,0
108,2,2,3,2,1,0,2,0
109,2,2,2,2,1,1,4,0
110,1,2,2,2,2,1,3,0
111,3,3,2,2,1,0,2,0
112,3,2,1,2,1,1,2,0
113,2,3,2,3,3,1,4,0
114,3,3,3,2,2,1,1,0
115,3,3,3,2,2,1,1,0
116,2,2,1,2,1,1,2,0
117,2,2,2,2,1,1,4,0
118,3,3,1,2,1,0,2,0
119,2,3,1,3,1,1,2,0
120,2,3,1,3,1,1,2,0
121,3,3,3,2,1,0,2,0
122,3,1,1,2,1,1,2,0
123,3,3,2,3,1,1,3,0
124,3,3,3,3,3,0,3,0
125,3,2,1,2,1,1,3,0
126,2,2,1,2,1,1,2,0
127,2,2,1,2,1,0,1,0
128,3,2,1,2,1,0,2,0
129,3,2,3,1,1,0,2,0
130,2,3,1,2,1,1,3,0
131,1,3,1,2,1,1,3,0
132,3,2,2,3,1,1,3,0
133,3,2,2,3,1,0,2,0
134,1,1,1,2,1,0,3,0
135,2,2,1,3,1,1,2,0
136,2,3,3,3,2,1,4,0
137,2,3,3,2,1,1,1,0
138,2,2,1,1,1,1,2,0
139,2,2,2,2,2,1,4,0
140,3,1,1,2,1,1,1,0
141,3,3,2,3,1,0,1,0
142,3,3,3,3,2,0,3,0
143,3,3,2,3,1,0,1,0
144,3,3,2,3,1,0,1,0
145,2,3,2,2,3,1,4,0
146,2,3,3,3,3,1,4,0
147,2,2,2,2,1,1,4,0
148,1,2,1,2,1,0,2,0
149,2,1,2,2,1,1,3,0
150,2,3,2,2,2,1,3,0
151,2,3,2,2,2,1,3,0
152,3,2,1,3,3,1,3,0
153,2,2,1,1,2,1,3,0
154,3,3,2,3,1,0,3,0
155,2,3,2,2,1,0,2,0
156,3,3,2,3,2,1,3,0
157,2,2,2,2,2,1,3,0
158,2,3,2,2,3,1,3,0
159,3,1,2,2,1,1,1,0
160,3,3,2,3,1,1,2,0
161,2,2,1,1,1,1,3,0
162,3,3,2,2,2,1,4,0
163,2,2,3,2,2,0,4,0
164,2,2,3,2,2,0,4,0
165,2,2,2,1,1,1,4,0
166,2,3,2,3,1,0,2,0
167,2,3,3,3,3,1,4,0
168,3,3,1,3,2,1,4,0
169,1,2,1,1,1,0,2,0
170,3,2,3,3,3,1,4,0
171,2,2,2,2,1,1,2,0
172,2,2,2,1,2,1,2,0
173,1,2,2,2,2,0,4,0
174,3,2,1,2,2,1,2,0
175,2,1,1,1,1,0,2,0
176,2,3,3,2,2,0,2,0
177,2,3,2,3,3,1,4,0
178,1,3,1,1,1,0,4,0
179,3,3,2,3,1,0,1,0
180,3,3,2,3,1,0,1,0
181,3,3,2,3,2,1,3,0
182,2,2,1,2,1,1,4,0
183,3,3,1,3,2,1,2,0
184,2,2,1,3,1,0,2,0
185,3,3,2,2,3,1,4,0
186,3,3,1,2,1,1,2,0
187,2,3,2,3,1,1,4,0
188,3,3,2,2,2,1,4,0
189,2,3,3,2,2,1,4,0
190,2,1,2,3,2,1,2,0
191,3,3,2,2,2,1,4,0
192,3,2,2,3,2,1,2,0
193,3,2,2,1,3,0,4,0
194,1,3,2,3,2,1,1,0
195,3,2,3,3,2,1,3,0
196,2,2,1,2,2,1,2,0
197,2,1,1,2,1,1,2,0
198,1,3,1,1,1,0,2,0
199,3,2,2,2,2,1,2,0
200,2,1,1,2,2,0,3,0
201,1,2,1,2,2,0,3,0
202,3,3,3,3,3,0,2,0
203,3,2,3,3,2,1,3,0
204,2,2,2,2,2,1,1,0
205,3,2,2,2,2,1,2,0
206,1,2,2,2,1,0,3,0
207,3,3,3,3,3,1,4,0
208,2,3,2,2,2,0,3,0
209,2,3,2,2,2,0,3,0
210,2,2,2,3,1,0,4,0
211,2,3,3,2,3,0,2,0
212,2,3,3,2,3,0,2,0
213,1,1,2,1,2,1,3,0
214,2,3,3,3,2,1,2,0
215,2,2,1,2,1,1,2,0
216,3,3,2,3,2,0,2,0
217,2,3,3,3,2,1,4,0
218,3,3,3,3,2,0,2,0
219,2,2,3,3,3,1,3,0
220,3,2,2,2,2,1,4,0
221,3,2,2,3,2,0,3,0
222,2,3,2,1,1,0,3,0
223,2,3,2,1,1,0,3,0
224,1,2,1,2,1,0,2,0
225,2,3,1,2,2,0,4,0
226,3,2,2,3,2,1,3,0
227,3,2,2,3,2,1,3,0
228,3,3,2,3,1,1,2,0
229,3,1,1,1,1,1,2,0
230,3,3,3,3,3,1,3,0
231,2,3,3,2,3,1,3,0
232,3,3,2,2,3,1,3,0
